sid,source
14,"#include<stdio.h>
int main()
{int t,s=0,i=0,n[1000],max=0,min=100,j,k;
float a;
scanf(""%d"",&t);
for(k=0;k<t;k++)
{s=0;
i=0;
max=0;
min=100;

do
{scanf(""%d"",&n[i]);}
while(n[i++]!=-1);
for(j=0;j<i-1;j++)
{if(n[j]>max)
max=n[j];
if(n[j]<min)
min=n[j];
s=s+n[j];}
a=1.0*s/(i-1);
printf(""%d\n"",i-1);
printf(""%d\n"",max);
 printf(""%d\n"",min);
 printf(""%.1f\n"",a);
}return 0;
}
"
15,"#include<stdio.h>
int main()
{int a,n,i;
scanf(""%d"",&n);
for(i=0;i<n;i++)
{scanf(""%d"",&a);
printf(""%o\n"",a);
}return 0;}
"
16,"#include<stdio.h>
int main()
{int a,n,i,b[100],j=0,k;
scanf(""%d"",&n);
for(i=0;i<n;i++)
{scanf(""%d"",&a);
j=0;
while(a!=0)
{b[j++]=a%2;
a=a/2;
}
for(k=j-1;k>=0;k--)
{printf(""%d"",b[k]);
}printf(""\n"");
}return 0;
}
"
17,"#include<stdio.h>
int main()
{int a,n,i,b[100],j=0,k;
scanf(""%d"",&n);
for(i=0;i<n;i++)
{scanf(""%d"",&a);
j=0;k=0;
while(a!=0)
{b[j++]=a%2;
if(a%2==1)
{k++;}
a=a/2;
}printf(""%d\n"",k);
}return 0;
}
"
18,"#include<stdio.h>
int main()
{int a,n,i,max=0,sec=0;
scanf(""%d"",&n);
for(i=0;i<n;i++)
{scanf(""%d"",&a);
if(a>max)
{sec=max;
max=a;}
if(a>sec&&a<max)
sec=a;}
printf(""%d %d\n"",max,sec);
return 0;

}"
19,"#include<stdio.h>
int main()
{int a,k,n,i,j,b[1000],s;
scanf(""%d %d"",&n,&s);
for(i=0;i<n;i++)
{scanf(""%d"",&b[i]);
}
for(j=0;j<n-1;j++)
{for(k=0;k<n-1-j;k++)
if(b[k]<b[k+1])
{a=b[k];
b[k]=b[k+1];
b[k+1]=a;
}}
for(j=0;j<s;j++)
{if(j<s-1)
	printf(""%d "",b[j]);
else
printf(""%d"",b[j]);}
return 0;
}
"
20,"#include<stdio.h>
int main()
{int a,k,n,i,j,b[1000],s;
scanf(""%d %d"",&n,&s);
for(i=0;i<n;i++)
{scanf(""%d"",&b[i]);
}
for(j=0;j<n-1;j++)
{for(k=0;k<n-1-j;k++)
if(b[k]<b[k+1])
{a=b[k];
b[k]=b[k+1];
b[k+1]=a;
}}
for(j=0;j<s;j++)
{if(j<s-1)
	printf(""%d "",b[j]);
else
printf(""%d\n"",b[j]);}
return 0;
}
"
21,"#include<stdio.h>
int main()
{int n,a,i;
while(scanf(""%d"",&a)!=EOF)
{printf(""%d\n"",a%7);
}return 0;
}"
22,"#include<stdio.h>
int main()
{int n,a,i;
while(scanf(""%d"",&a)!=EOF)
{if(a%7==0)
printf(""7\n"");
else
	printf(""%d\n"",a%7);
}return 0;
}"
23,"#include<stdio.h>
int main()
{int n=1,a,i;
while(scanf(""%d"",&a)!=EOF)
{n=1;
	for(i=a;i>0;i--)
{n=n*i;
}printf(""%d\n"",n);}
return 0;}"
24,"#include<stdio.h>
int main()
{int n,a[1000],i,j,t;
scanf(""%d"",&n);
for(i=0;i<n;i++)
{scanf(""%d"",&a[i]);}
for(i=0;i<n-1;i++)
{for(j=0;j<n-1-i;j++)
if(a[j]>a[j+1])
{t=a[j];
a[j]=a[j+1];
a[j+1]=t;}
}
for(i=0;i<n;i++)
if(i<n-1)
printf(""%d "",a[i]);
else
printf(""%d\n"",a[i]);
return 0;
}"
25,"#include<stdio.h>
int main()
{
	int n,a,b,r,c,d,i=0;
	scanf(""%d"",&n);
	{
		do{
			scanf(""%d %d"",&a,&b);
			c=a*b;
			do{
				r=a%b;
				a=b;
				b=r;
			}while(r!=0);
			d=c/a;
			i++;
			printf(""%d\n"",d);
		}while(i<n);
	
	}
		return 0;
}

"
26,"#include<stdio.h>
int main()
{int n,i,j,a[100][100];
scanf(""%d"",&n);
for(i=0;i<n;i++)
  for(j=0;j<n;j++)
	  scanf(""%d"",&a[i][j]);
for(i=0;i<n;i++)
  for(j=0;j<n;j++)
	  if(j<n-1)
		  printf(""%d "",a[j][i]);
	  else
		  printf(""%d\n"",a[j][i]);
return 0;}"
27,"#include<stdio.h>
int main()
{
	int a[10],b[10],c[10],i,j,g=0,h=0,e,f;
	for(i=0;i<10;i++)
		scanf(""%d"",&a[i]);
	for(i=0;i<10;i++)
	{
		if(a[i]%2!=0)
			b[g++]=a[i];
		else
			c[h++]=a[i];
	}
	for(i=0;i<g;i++)
	{

		for(j=0;j<g-i-1;j++)
			if(b[j]<b[j+1])
			{
				e=b[j+1];
				b[j+1]=b[j];
				b[j]=e;
			}
	}
	for(i=0;i<h;i++)
	{
		for(j=0;j<h-i-1;j++)
			if(c[j]>c[j+1])
			{
				f=c[j+1];
				c[j+1]=c[j];
				c[j]=f;
			}
	}
	for(i=0;i<g;i++)
	    printf(""%d "",b[i]);
	for(i=0;i<h;i++)
	{
		if(i<h-1)
		   printf(""%d "",c[i]);
		else 
		   printf(""%d\n"",c[i]);
	}
	return 0;
}
"
28,"#include<stdio.h>
int main()
{
	int a,b;
	scanf(""%d%d"",&a,&b);
	printf(""%d\n"",a+b);
    return 0;
}"
29,"#include<stdio.h>
int main()
{
	int a,b;
while(scanf(""%d%d"",&a,&b)!=EOF)
	printf(""%d\n"",a+b);
    return 0;
}"
30,"#include<iostream>
using namespace std;
int main()
{
	int n,i=0;
		while(cin>>n)
		{
			do{
			if(n%2==0)
			n=n/2;
			else
			n=(3*n+1)/2;
			i++;
			}while(n!=1);
			cout<<i<<endl;
			i=0;
		}
		return 0;
}"
31,"#include<stdio.h>
int main()
{
	int n,t,a[1000],j,i;
	while(scanf(""%d"",&n)!=EOF)
	{
	for(i=0;i<n;i++)
		scanf(""%d"",&a[i]);
	for(j=0;j<n-1;j++)
		for(i=0;i<n-1-j;i++)
		if(a[i]>a[i+1])
		{
			t=a[i];
			a[i]=a[i+1];
			a[i+1]=t;
		}
	for(i=0;i<n;i++)
		if(i!=n-1)
			printf(""%d "",a[i]);
		else
				printf(""%d\n"",a[i]);
			
	}
	return 0;
"
32,"#include<iostream>
using namespace std;
int main()
{
	int a,b;
	while(cin>>a>>b)
	{
		cout<<a+b<<endl<<endl;
	}
	return 0;
}"
33,"#include<iostream>
using namespace std;

int main(){
int a,b;
cin>>a>>b;
cout<<a+b<<endl;
return 0;
}"
34,"#include<stdio.h>
int main()
{
	int n,t,a[1000],j,i;
	while(scanf(""%d"",&n)!=EOF)
	{
	for(i=0;i<n;i++)
		scanf(""%d"",&a[i]);
	for(j=0;j<n-1;j++)
		for(i=0;i<n-1-j;i++)
		if(a[i]>a[i+1])
		{
			t=a[i];
			a[i]=a[i+1];
			a[i+1]=t;
		}
	for(i=0;i<n;i++)
		if(i!=n-1)
			printf(""%d "",a[i]);
		else
				printf(""%d\n"",a[i]);
			
	}
	return 0;
}"
35,"#include<iostream>
using namespace std;

int main(){
int a,b;
cin>>a>>b;
cout<<a+b<<endl;
return 0;
}"
36,"#include<stdio.h>
int main(){
	int n,a,max=0;
	scanf(""%d"",&n);
	while(n--){
	scanf(""%d"",&a);
	if(a>=max)
		max=a;
	}
	printf(""%d\n"",max);
return 0;
}"
37,"#include<stdio.h>
int main(){
int a,b;
scanf(""%d%d"",&a,&b);
printf(""%d"",a+b);
return 0;
}"
38,"#include<iostream>
using namespace std;
int main()
{
	int a[10][10]={0},i=0,j=0,c=1,n;
	cin>>n;
	while(c<n*n)
	{
		while(j<n-1&&!a[i][j+1]){a[i][j++]=c++;}
		while(i<n-1&&!a[i+1][j]){a[i++][j]=c++;}
		while(j>0&&!a[i][j-1]){a[i][j--]=c++;}
		while(i>0&&!a[i-1][j]){a[i--][j]=c++;}
	}
	
	for(i=0;i<n;i++)
	{
		for(j=0;j<n-1;j++)
		{
			if(a[i][j])
				cout<<a[i][j]<<"" "";
			else
				cout<<n*n<<"" "";
		}
		cout<<a[i][j];
	    cout<<endl;
	}
	return 0;
}"
39,"#include<stdio.h>
int main()
{
	int a,b;
	scanf(""%d%d"",&a,&b);
	printf(""%d\n"",a+b);
	return 0;
}"
40,"#include<stdio.h>
int main()
{
	int a,b;
	scanf(""%d,%d"",&a,&b);
	printf(""%d\n"",a+b);
	return 0;
}"
41,"#include<stdio.h>
#include<string.h>
int main()
{
 int i,n;
 char s[501];
 scanf(""%s"",&s);
 n=strlen(s);
 for(i=0;i<n;i++)
	 if(s[i]>='A'&&s[i]<='Z')
		 s[i]+='a'-'A';
	 for(i=0;i<n;i++)
		 printf(""%c"",s[i]);
	 printf(""\n"");
	 return 0;
}"
42,"#include<stdio.h>
int main()
{
	int a,b;
	while(scanf(""%d%d"",&a,&b)!=EOF)
	printf(""%d\n"",a+b);
	return 0;
}"
43,"#include<stdio.h>
int main()
{
	int a,b;
	scanf(""%d %d"",&a,&b);
	printf(""%d\n"",a+b);
	return 0;
}"
44,"#include<iostream>
using namespace std;
int main()
{
	int n,a[100],i,sum;
	while(cin>>n)
	{
		sum=0;
		for(i=0;i<n;i++)
		{
			cin>>a[i];
			sum+=a[i];
		}
		cout<<sum<<endl;
	}
	return 0;
}
"
45,"#include<stdio.h>
int main()
{
	int a,b;
	scanf(""%d%d"",&a,&b);
	printf(""%d\n"",a+b);
	return 0;
}"
46,"#include<stdio.h>
int main()
{
	int a,b;
	while(scanf(""%d%d"",&a,&b)!=EOF);
	{
	printf(""%d\n"",a+b);
	}
	return 0;
}"
47,"#include<stdio.h>
int main()
{
	int a,b;
	while(scanf(""%d%d"",&a,&b)!=EOF)
	{
	printf(""%d\n"",a+b);
	}
	return 0;
}"
48,"#include<stdio.h>
#include<math.h>
int main(){
int a,b,c,p;
double s;
while(scanf(""%d%d%d"",&a,&b,&c)!=EOF)
{
	if((a+b>c)&&(a+c>b)&&(b+c>a))
	{p=(a+b+c)/2;
s=sqrt(p*(p-a)*(p-b)*(p-c));
printf(""%.2f\n"",s);
	}
else
printf(""%d\n"",-1);
}
return 0;
}"
49,"#include<iostream>
using namespace std;
int main()
{
	int n,i,m=1;
	while(cin>>n)
	{m=1;
		for(i=1;i<=n;i++)
		{
			m=m*i;
		}
		cout<<m<<endl;
	}
	return 0;
}
"
50,"#include<iostream>
using namespace std;
int main()
{
	int n,i,m=1;
	while(cin>>n)
	{m=1;
		for(i=1;i<=n;i++)
		{
			m=m*i;
		}
		cout<<m<<endl;
	}
	return 0;
}
"
51,"#include<stdio.h>
int main()
{
	int a,b,n,i=0;
	char c;
	scanf(""%d"",&n);
	while(i<n)
	{
		scanf(""%d%c%d"",&a,&c,&b);
		switch(c)
		{
		case '+':printf(""%d\n"",a+b);break;
		case '-':printf(""%d\n"",a-b);break;
		case '*':printf(""%d\n"",a*b);break;
		case '/':printf(""%d\n"",a/b);break;
		}
		i++;
	}
	return 0;
}"
52,"#include<stdio.h>
int main()
{
	int i,n,m,x,count=0,temp;
	scanf(""%d%d"",&n,&m);
	for(i=n;i<=m;i++)
	{
		temp=i;
		while(temp)
		{
			x=temp%10;
			if(x==2)
			{
				count+=1;
			}
			temp/=10;
		}
	}
	printf(""%d\n"",count);
	return 0;
}"
53,"#include<stdio.h>
int main()
{
	int a,b,n,r,i=0;
	scanf(""%d"",&n);
	while(i<n)
	{
		scanf(""%d%d"",&a,&b);
		do
		{
			r=a%b;
			a=b;
			b=r;
		}while(r!=0);
		printf(""%d\n"",a);
		i++;
	}
	return 0;
}"
54,"#include<stdio.h>
int main()
{
	int a,b,n,r,i=0,t;
	scanf(""%d"",&n);
	while(i<n)
	{
		scanf(""%d%d"",&a,&b);
		t=a*b;
		do
		{
			r=a%b;
			a=b;
			b=r;
		}while(r!=0);
		a=t/a;
		printf(""%d\n"",a);
		i++;
	}
	return 0;
}"
55,"#include <stdio.h>
#include<stdlib.h>
void main()
{
 int i,j,n,number=1,a[10][10];
 scanf(""%d"",&n);
 for(i=0;i<=n/2;i++)     
 {
  for(j=i;j<n-i;j++)    
   a[i][j]=number++;
  for(j=i+1;j<n-i;j++)   
   a[j][n-i-1]=number++;
  for(j=n-i-2;j>i;j--)   
   a[n-i-1][j]=number++;
  for(j=n-i-1;j>i;j--)  
  a[j][i]=number++;
 }
 for(i=0;i<n;i++)
 {
  for(j=0;j<n;j++)
	  if(a[i][j]>=n&&a[i][j]<=n*2-1)
		  printf(""%d"",a[i][j]);
	  else
      printf(""%d "",a[i][j]);
  printf(""\n"");
 }
} "
56,"#include <stdio.h>
#include<stdlib.h>
void main()
{
 int i,j,n,number=1,a[10][10];
 scanf(""%d"",&n);
 for(i=0;i<=n/2;i++)       
 {
  for(j=i;j<n-i;j++)   
   a[i][j]=number++;
  for(j=i+1;j<n-i;j++) 
   a[j][n-i-1]=number++;
  for(j=n-i-2;j>i;j--)  
   a[n-i-1][j]=number++;
  for(j=n-i-1;j>i;j--)  
   a[j][i]=number++;
 }
 for(i=0;i<n;i++)
 {
  for(j=0;j<n;j++)
	  if(a[i][j]>=n&&a[i][j]<=n*2-1)
		  printf(""%d"",a[i][j]);
	  else
      printf(""%d "",a[i][j]);
  printf(""\n"");
 }
} "
57,"#include<stdio.h>
int main()
{
	int a,b,n,r,i=0,c;
	scanf(""%d"",&n);
	while(i<n)
	{
		scanf(""%d%d%d"",&a,&b,&c);
		do
		{
			r=a%b;
			a=b;
			b=r;
		}while(r!=0);
		do
		{
			r=a%c;
			a=c;
			c=r;
		}while(r!=0);
		printf(""%d\n"",a);
		i++;
	}
	return 0;
}"
58,"#include<iostream>
using namespace std;
int main()
{
	int n,i,p,max,min,k;
	double s;
	scanf(""%d"",&n);
	for(i=1;i<=n;i++)
	{
		s=0.0;max=-1;min=101;k=0;
		do
		{
			scanf(""%d"",&p);
			k++;
			s=s+p;
			if(max<p)
				max=p;
		    if(min>p&&p!=-1)
				min=p;
		}while(p!=-1);
		printf(""%d\n"",k-1);
		printf(""%d\n"",max);
		printf(""%d\n"",min);
			printf(""%.1lf\n"",(s+1)/(k-1));
	}
	return 0;
}
  
"
59,"#include <iostream>
#include<stdlib.h>
using namespace std;
int main()
{
 int i,j,n,number=1,a[10][10];
 cin>>n;
 for(i=0;i<=n/2;i++)     
 {
  for(j=i;j<n-i;j++)   
   a[i][j]=number++;
  for(j=i+1;j<n-i;j++) 
   a[j][n-i-1]=number++;
  for(j=n-i-2;j>i;j--)  
   a[n-i-1][j]=number++;
  for(j=n-i-1;j>i;j--)  
   a[j][i]=number++;
 }
 for(i=0;i<n;i++)
 {
  for(j=0;j<n;j++)
	  if(a[i][j]>=n&&a[i][j]<=n*2-1)
		  cout<<a[i][j];
	  else
          cout<<a[i][j]<<"" "";
   cout<<endl;
 }
 return 0;
} "
60,"#include<iostream>
#include<string.h>
using namespace std;
int main()
{
	int i,n;
	char a[501];
	cin>>a;
	n=strlen(a);
	for(i=0;i<n;i++)
	{
	if(a[i]>='A'&&a[i]<='Z')
	a[i]+='a'-'A';
	}
	for(i=0;i<n;i++)
		cout<<a[i];
	cout<<endl;
	return 0;

} "
61,"#include<stdio.h>

int main()
{
	int n,i,p,max,min,k;
	double s;
	scanf(""%d"",&n);
	for(i=1;i<=n;i++)
	{
		s=0.0;max=-1;min=101;k=0;
		do
		{
			scanf(""%d"",&p);
			k++;
			s=s+p;
			if(max<p)
				max=p;
		    if(min>p&&p!=-1)
				min=p;
		}while(p!=-1);
		printf(""%d\n"",k-1);
		printf(""%d\n"",max);
		printf(""%d\n"",min);
			printf(""%.1lf\n"",(s+1)/(k-1));
	}
	return 0;
}
  
"
62,"#include<iostream>
using namespace std;
int main()
{
	int n,i,temp,p,r,a,b;
      cin>>n;
		for(i=1;i<=n;i++)
		{
			cin>>a>>b;
    if(a<b) 
	{temp=a; 
     a=b; 
     b=temp; 
	} 
     p=a*b;
     while(b!=0)
	 { 
      r=a%b; 
      a=b; 
     b=r; 
	 } 
		cout<<p/a<<endl;
		}
	return 0;
}
"
63,"#include<stdio.h>
#include<math.h>
int main()
{
	int n,i,t;
	while(scanf(""%d"",&n)!=EOF)
	{
		if(n==1)
			printf(""No\n"");
		else
		{
		t=1;
		for(i=2;i<=sqrt(n);i++)
		{
			if(n%i==0)
				t=0;
		}
		if(t==1)
			printf(""Yes\n"");
		else
			printf(""No\n"");
		}
	}
	return 0;
}"
64,"#include<stdio.h>
int main(){
	int n,a,b;
	scanf(""%d"",&n);
	for(a=0; a<=n; a++)
		for(b=0; b<=(n-a)/2; b++){
			if(a+b*2==n)
				printf(""%d %d\n"",a,b);
		}
		return 0;
}"
65,"#include<stdio.h>
int f(int n){
	if(n==1)
		return 1;
	else if(n==2)
		return 2;
	else return f(n-1)+f(n-2);
}
main(){
	int n;
	while (scanf(""%d"",&n)!=EOF)
		printf(""%d\n"",f(n));
}
"
66,"#include<iostream>
using namespace std;
int f(int n)
{
	if (n<3)
	return 1;
	else return f(n-1)+f(n-2);	
}
int main()
{
	int n;
	while(cin>>n)
	{
		cout<<f(n+1)<<endl;
	}
	return 0;
}"
67,"#include<iostream>
using namespace std;
int f(int n)
{
	if (n<3)
	return 1;
	else return f(n-1)+f(n-2);	
}
int main()
{
	int n;
	while(cin>>n)
	{
		cout<<f(n+1)<<endl;
	}
	return 0;
}"
68,"#include <iostream>
#include<vector>  
using namespace std;
int main()
{
 int a,b,i;
 int   len;   
    cin>>len;
 for (i=1;i<=len;i++)
 {
        while(cin>>a>>b)
  {
       cout<<a+b<<endl;
  }
 }
 
return 0;
}
"
69,"#include<stdio.h>
#include<string.h>
int main()
{
	int n,l,i;
	char s[1000],t;
	scanf(""%d\n"",&n);
	while(n--)
	{
		gets(s);//scanf输入字符串不能有空格，gets可以有空格
		l=strlen(s);
		for(i=0;i<l/2;i++)
		{
			t=s[i];
			s[i]=s[l-1-i];
			s[l-1-i]=t;
		}
		printf(""%s\n"",s);
	}
	return 0;
}
"
70,"#include <iostream>
using namespace std;
int main ()
{
 int a,n,m,result;
    cin >> n; 
 while(n--)
 {
  cin >>a;
  m=a;
     result=0;
  while (m--)
  {
   cin >>a;
   result= result+a;
  }
  if(n!=0)
  cout <<result<<'\n'<<'\n';
  else
   cout <<result<<endl;
 }
 return 0;
}"
71,"#include<stdio.h>
#include<string.h>
int main()
{
	int n,i,j;
	char s[150][30],t[30];
	scanf(""%d\n"",&n);
	for(i=0;i<n;i++)
	{
		gets(s[i]);
	}
	for(j=n-1;j>0;j--)
	{
		for(i=0;i<j+1;i++)
		{
		    if(strcmp(s[i],s[i+1])>0)
			{
			    strcpy(t,s[i]);
		     	strcpy(s[i],s[i+1]);
		     	strcpy(s[i+1],t);
			}
		}
	}
	for(i=0;i<n;i++)
	{
		if(strcmp(s[i],""China"")!=0)
			printf(""%s\n"",s[i]);
	}
	printf(""China\n"");
	return 0;
}
"
72,"#include<iostream>
using namespace std;
int main()
{
	int n,i;
	cin>>n;
	for(i=0;i<n;i++)
	{
		int j,an=0,ans,dec=1,k=0,ans2;
		char isbn[13],isbn2[10],isbn3[13];
		for(j=0;j<=12;j++)
			cin>>isbn[j];
		ans2=isbn[12]-'0';
		for(j=0;j<=12;j++){
			isbn3[j]=isbn[j];
			if((isbn[j]-'0')>=0&&(isbn[j]-'0')<=9)
				isbn2[k++]=isbn[j];
		}
	 for(j=0;j<=8;j++){
			an+=(isbn2[j]-'0')*dec;
			dec++;
		}
		ans=an%11;
		if(ans!=10){
		if(ans==ans2)
			cout<<""Right""<<endl;
		else{
			for(j=0;j<=11;j++)
				cout<<isbn3[j];
		    cout<<ans<<endl;
			}
		}
		else if(ans2=='X')
			cout<<""Right""<<endl;
		else{
			for(i=0;i<12;i++)
			cout<<isbn[i];
			cout<<'X'<<endl;
		}
	}
	return 0;
}
"
73,"#include<iostream>
using namespace std;
int k=0;
void fun(int n)
{
    if(n==1||n==0){
		k++;
		return ;
	}
	else{
	fun(n-1);
    fun(n-2);
	}

}
int main()
{
	int X;
	int n;
    int a=0;
	cin>>n;
	while(n--){
	   cin>>X;
	   fun(X);
	   cout<<k-a<<endl;
	   a=k;
	}
	return 0;
}
"
74,"#include <iostream>
using namespace std;
int main()
{
 int a,b,i;
 while(cin>>a>>b && a!=0 && b!=0)
  {
       cout<<a+b<<endl;
  }
 
 
return 0;
}"
75,"#include<stdio.h>
int main(){
	int n;
	scanf(""%d"",&n);
	getchar();
	for(;n>0;n--){
		int arr[10]={0};
		scanf(""%1d-%1d%1d%1d-%1d%1d%1d%1d%1d-%1d"",&arr[0],&arr[1],&arr[2],&arr[3],&arr[4],&arr[5],&arr[6],&arr[7],&arr[8],&arr[9]);
		int sum=0;
		for(int i=1;i<=9;i++){
			sum+=arr[i-1]*i;
		}
		if(sum%11==arr[9])
			printf(""Right\n"");
		else
			printf(""%1d-%1d%1d%1d-%1d%1d%1d%1d%1d-%1d\n"",arr[0],arr[1],arr[2],arr[3],arr[4],arr[5],arr[6],arr[7],arr[8],sum%11);
	}
	return 0;
}"
76,"#include<stdio.h>
#include<string.h>
int main()
{
	char af[20];
	int m,i;
	scanf(""%d"",&m);
	getchar();
    while(m--)
	{
		int n,j=0,sum=0;
		int bf[10];
		gets(af);
		n=strlen(af);
        for(i=0;i<n;i++)
			if(af[i]>='0'&&af[i]<='9')
				bf[j++]=af[i]-'0';
		for(i=0;i<9;i++)
			sum+=bf[i]*(i+1);
		if(sum%11==bf[9])
			printf(""Right\n"");
		else
		{
			for(i=0;i<n-1;i++)
				printf(""%c"",af[i]);
			printf(""%d"",sum%11);
			printf(""\n"");
		}
	}
	return 0;
}
"
77,"#include<iostream>
using namespace std;
int k=0;
void fun(int n)
{
    if(n==1||n==0){
		k++;
		return ;
	}
	else{
	fun(n-1);
    fun(n-2);
	}

}
int main()
{
	int X;
	int n;
    int a=0;
	cin>>n;
	while(n--){
	   cin>>X;
	   fun(X);
	   cout<<k-a<<endl;
	   a=k;
	}
	return 0;
}
"
78,"#include<stdio.h>
#include<string.h>
int main()
{
	int n,i,k;
	char a[13];
	scanf(""%d"",&n);
	for(i=1;i<=n;i++)
	{
	  scanf(""%s"",a);
	  k=a[0]-'0'+2*(a[2]-'0')+3*(a[3]-'0')+4*(a[4]-'0')+5*(a[6]-'0')+6*(a[7]-'0')
		  +7*(a[8]-'0')+8*(a[9]-'0')+9*(a[10]-'0');
	  if(k%11==4)
		  printf(""Right\n"");
	  a[13]='\0';
	  printf(""%s"",a);
	}
	return 0;
}"
79,"#include<iostream>
using namespace std;
int ab(int x,int y);
int main()
{
	int x,y,n,p;
	while(cin>>n)
	{
		x=0;p=0;
	   while(x<=n)
	   {
		  y=(n-x)/2;
		  if((x+2*y)==n)
			 p=p+ab(x,y);
		  x++;
	   }
	   cout<<p<<endl;
	}
	return 0;
}
int ab(int x,int y)
{
	int k=1,i,m;
	m=x+y;
	if(x==0||y==0)
		return 1;
	else if (x<=y)
	{
		for(i=1;i<=x;i++)
		{
			k=k*m;
		    m=m-1;
		}
		return k/x;
	}
	else
	{
		for(i=1;i<=y;i++)
		{
			k=k*m;
		    m=m-1;
		}
		return k/y;
	}
}
"
80,"#include<iostream>
using namespace std;
int main()
{
	char a[14],x='x';
	int n,r,i;
	cin>>n;
	while(n--)
	{
		cin>>a;
		r=0;
		for(i=0;i<=0;i++)
			r+=(a[i]-48)*(i+1);
		for(i=2;i<=4;i++)
			r+=(a[i]-48)*i;
		for(i=6;i<=10;i++)
			r+=(a[i]-48)*(i-1);
		if(a[12]==(r%11+48))
			cout<<""Rigth""<<endl;
		else
		{
			if(r%11==10)
			a[12]=x;
			else
				a[12]=r%11+48;
			cout<<a<<endl;
		}
	}
	return 0;
}"
